profileName,profileDesc,recommendedCategories,cautiousCategories,riskTags,dimMathLogic,dimInfoSystems,dimEngineering,bucketStem,bucketBusiness,bucketHumanities
"医学技术·路径规划型","","临床医学类; 动物医学类; 护理学类; 植物生产类; 药学类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,85,38,5,5
"基础医学·兴趣驱动型","","临床医学类; 动物医学类; 护理学类; 植物生产类; 药学类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,85,38,5,5
"法医学·兴趣驱动型","","临床医学类; 动物医学类; 护理学类; 植物生产类; 药学类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,85,38,5,5
"工商管理·兴趣驱动型","","经济学类; 金融学类; 工商管理类; 电子商务类; 旅游管理类","管理科学与工程类; 新闻传播学类; 体育学类; 计算机类","",25,25,55,22,88,10
"工商管理·能力匹配型","","经济学类; 金融学类; 工商管理类; 电子商务类; 旅游管理类","管理科学与工程类; 新闻传播学类; 体育学类; 计算机类","",25,25,55,22,88,10
"工商管理·路径规划型","","经济学类; 金融学类; 工商管理类; 电子商务类; 旅游管理类","管理科学与工程类; 新闻传播学类; 体育学类; 计算机类","",25,25,55,22,88,10
"工商管理·误解待澄清型","","经济学类; 金融学类; 工商管理类; 旅游管理类; 经济与贸易类","管理科学与工程类; 新闻传播学类; 计算机类; 电子信息类","",25,25,55,18,74,8
"公共管理·兴趣驱动型","","教育学类; 法学类; 政治学类; 社会学类; 经济学类","经济与贸易类; 电子商务类; 新闻传播学类; 体育学类","",25,25,55,8,78,45
"公共管理·能力匹配型","","教育学类; 法学类; 政治学类; 社会学类; 经济学类","经济与贸易类; 电子商务类; 新闻传播学类; 体育学类","",25,25,55,8,78,45
"公共管理·路径规划型","","教育学类; 法学类; 政治学类; 社会学类; 经济学类","经济与贸易类; 电子商务类; 新闻传播学类; 体育学类","",25,25,55,8,78,45
"管理科学与工程·兴趣驱动型","","经济学类; 金融学类; 工商管理类; 统计学类; 电子商务类","自动化类; 机械类; 管理科学与工程类; 航空航天类","",85,85,55,78,88,10
"管理科学与工程·能力匹配型","","经济学类; 金融学类; 工商管理类; 统计学类; 电子商务类","自动化类; 机械类; 管理科学与工程类; 航空航天类","",85,85,55,78,88,10
"管理科学与工程·路径规划型","","经济学类; 金融学类; 工商管理类; 统计学类; 电子商务类","自动化类; 机械类; 管理科学与工程类; 航空航天类","",85,85,55,78,88,10
"电子商务·兴趣驱动型","","经济学类; 金融学类; 工商管理类; 电子商务类; 旅游管理类","公共管理类; 管理科学与工程类; 计算机类; 电子信息类","",25,85,55,22,88,10
"电子商务·能力匹配型","","经济学类; 金融学类; 工商管理类; 电子商务类; 旅游管理类","公共管理类; 管理科学与工程类; 计算机类; 电子信息类","",25,85,55,22,88,10
"电子商务·路径规划型","","经济学类; 金融学类; 工商管理类; 电子商务类; 旅游管理类","公共管理类; 管理科学与工程类; 计算机类; 电子信息类","",25,85,55,22,88,10
"旅游管理·兴趣驱动型","","经济学类; 金融学类; 工商管理类; 电子商务类; 旅游管理类","管理科学与工程类; 新闻传播学类; 体育学类; 计算机类","",25,25,55,22,88,10
"旅游管理·能力匹配型","","经济学类; 金融学类; 工商管理类; 电子商务类; 旅游管理类","管理科学与工程类; 新闻传播学类; 体育学类; 计算机类","",25,25,55,22,88,10
"物流管理与工程·兴趣驱动型","","经济学类; 金融学类; 工商管理类; 电子商务类; 旅游管理类","管理科学与工程类; 新闻传播学类; 体育学类; 计算机类","",25,25,55,22,88,10
"物流管理与工程·能力匹配型","","经济学类; 金融学类; 工商管理类; 电子商务类; 旅游管理类","管理科学与工程类; 新闻传播学类; 体育学类; 计算机类","",25,25,55,22,88,10
"工业工程·兴趣驱动型","","经济学类; 金融学类; 工商管理类; 电子商务类; 旅游管理类","管理科学与工程类; 新闻传播学类; 体育学类; 计算机类","",25,25,55,22,88,10
"工业工程·能力匹配型","","经济学类; 金融学类; 工商管理类; 电子商务类; 旅游管理类","管理科学与工程类; 新闻传播学类; 体育学类; 计算机类","",25,25,55,22,88,10
"图书情报与档案管理·兴趣驱动型","","中国语言文学类; 外国语言文学类; 哲学类; 历史学类; 经济学类","电子商务类; 法学类; 新闻传播学类; 公共管理类","",25,25,55,2,78,90
"农业经济管理·兴趣驱动型","","经济学类; 金融学类; 工商管理类; 电子商务类; 旅游管理类","管理科学与工程类; 新闻传播学类; 体育学类; 计算机类","",25,25,55,22,88,10
"设计学·兴趣驱动型","","美术学类; 戏剧与影视学类; 音乐与舞蹈学类","计算机类; 法学类; 电子信息类; 自动化类","",25,25,85,8,12,30
"设计学·能力匹配型","","美术学类; 戏剧与影视学类; 音乐与舞蹈学类","计算机类; 法学类; 电子信息类; 自动化类","",25,25,85,8,12,30
"设计学·路径规划型","","美术学类; 戏剧与影视学类; 音乐与舞蹈学类","计算机类; 法学类; 电子信息类; 自动化类","",25,25,85,8,12,30
"美术学·兴趣驱动型","","美术学类; 戏剧与影视学类; 音乐与舞蹈学类","计算机类; 法学类; 电子信息类; 自动化类","",25,25,85,8,12,30
"美术学·能力匹配型","","美术学类; 戏剧与影视学类; 音乐与舞蹈学类","计算机类; 法学类; 电子信息类; 自动化类","",25,25,85,8,12,30
"音乐与舞蹈学·兴趣驱动型","","美术学类; 戏剧与影视学类; 音乐与舞蹈学类","计算机类; 法学类; 电子信息类; 自动化类","",25,25,85,8,12,30
"音乐与舞蹈学·能力匹配型","","美术学类; 戏剧与影视学类; 音乐与舞蹈学类","计算机类; 法学类; 电子信息类; 自动化类","",25,25,85,8,12,30
"戏剧与影视学·兴趣驱动型","","美术学类; 戏剧与影视学类; 音乐与舞蹈学类","计算机类; 法学类; 电子信息类; 自动化类","",25,25,85,8,12,30
"戏剧与影视学·能力匹配型","","美术学类; 戏剧与影视学类; 音乐与舞蹈学类","计算机类; 法学类; 电子信息类; 自动化类","",25,25,85,8,12,30
"艺术学理论·兴趣驱动型","","美术学类; 戏剧与影视学类; 音乐与舞蹈学类","计算机类; 法学类; 电子信息类; 自动化类","",25,25,85,8,12,30
"交叉学科·兴趣驱动型","","计算机类; 电子信息类; 自动化类; 电气类; 数学类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,55,55,88,8,2
